Name,Address,Website,Plus-code,lat,lon
VIP HAND CAR WASH DETALING,"Entry from, 836 Pacific Hwy, McIntyre St, Gordon NSW 2072, Australia ",http://www.sydney-carwash.au/,"65W2+J7 Gordon, New South Wales, Australia",-33.7534591,151.1507358
Impulse Hand Car Wash And Detailing Centre,"807 Pacific Hwy, Gordon NSW 2072, Australia ",https://impulsehandcarwash.com.au/,"64XX+4W Gordon, New South Wales, Australia",-33.7521978,151.1497867
Star Car Wash - Gordon Centre,"802-808, Gordon NSW 2072, Australia ",https://www.starcarwash.com.au/centres/gordon/,"65W2+2Q Gordon, New South Wales, Australia",-33.7549288,151.1519852
VIP CAR WASH & DETAILING,"1/69 Werona Ave, Gordon NSW 2072, Australia ",http://www.vipcarcare.com.au/,"65V4+G6 Gordon, New South Wales, Australia",-33.756183,151.15556
Turramurra Car Wash,"1333 Pacific Hwy, Turramurra NSW 2074, Australia ",,"748G+RR Turramurra, New South Wales, Australia",-33.73298,151.127077
