Name,Address,Website,Plus-code,lat,lon
Star Car Wash - Norton Street Plaza,"Norton Plaza, 55 Norton St, Leichhardt NSW 2040, Australia ",https://www.starcarwash.com.au/centres/leichhardt/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"4575+JC Leichhardt, New South Wales, Australia",-33.8859147,151.1585587
White Oak Detailing Northern Beaches,"959 Pittwater Rd, Collaroy NSW 2097, Australia ",https://www.whiteoakdetailing.com.au/mobilecardetailingsydneyservices,"7853+95 Collaroy, New South Wales, Australia",-33.7415592,151.3029565
Car Care Products Sydney,"573 Parramatta Rd, Leichhardt NSW 2040, Australia ",http://www.carcareproducts.com.au/,"4562+9G Leichhardt, New South Wales, Australia",-33.88908,151.151338
AutoPrep,"2/22 Parraweena Rd, Caringbah NSW 2229, Australia ",http://www.autoprep.com.au/,"X4FH+98 Caringbah, New South Wales, Australia",-34.026602,151.128373
Isabella Smash Repairs,"30 Box Rd, Taren Point NSW 2229, Australia ",http://isabellasmash.com.au/,"X4GF+2M Taren Point, New South Wales, Australia",-34.0249534,151.12425
GreenHandCarWash,"Park Rd & Cross St, Hurstville NSW 2220, Australia ",,"24M4+G4 Hurstville, New South Wales, Australia",-33.9662224,151.1053579
Cronulla Beach Kebabs,"10/20 Gerrale St, Cronulla NSW 2230, Australia ",https://online.wsoft.com.au/cronullabeachkebab,"W5W3+5C Cronulla, New South Wales, Australia",-34.0546212,151.1535614
Motorone,"1/11 Kumulla Rd, Miranda NSW 2228, Australia ",,"X4C9+QH Miranda, New South Wales, Australia",-34.028082,151.1189959
Lush Auto Spa,"Unit 28 9/12 Lambridge Pl, Penrith NSW 2750, Australia ",,"7M8W+RH Penrith, New South Wales, Australia",-33.7329462,150.6964921
Ampol Foodary Woolooware,"100 Woolooware Rd, Woolooware NSW 2230, Australia ",https://locations.ampol.com.au/en/ampol-foodary-woolooware,"W4WR+W8 Woolooware, New South Wales, Australia",-34.052747,151.1408431
Top Notch Car Care,"Unit 84/2 The Crescent, Kingsgrove NSW 2208, Australia ",http://www.topnotchcarcare.com.au/,"335Q+GG Kingsgrove, New South Wales, Australia",-33.9411289,151.0887885
Cronulla Wharf,"Cronulla NSW 2230, Australia ",,"W4VX+GX Cronulla, New South Wales, Australia",-34.0561801,151.1498784
Anytime Fitness Cronulla,"LEVEL 1/84-86 Cronulla St, Cronulla NSW 2230, Australia ",https://www.anytimefitness.com.au/gyms/au-1207/cronulla-nsw-2230/,"W5W3+C2 Cronulla, New South Wales, Australia",-34.0539305,151.1526173
"Elite Auto Lab - Ceramic Coating | Paint Protection Specialist | Automotive Detailing | Sydney, New South Wales, Australia","Kerry Rd, Schofields NSW 2765, Australia ",https://eliteautolab.com.au/,"7VR7+7P Schofields, New South Wales, Australia",-33.709315,150.8643572
One World Hand Car Wash,"368 Hamilton Rd, Fairfield West NSW 2165, Australia ",https://www.oneworldcarwash.com.au/,"4WJF+Q8 Fairfield West, New South Wales, Australia",-33.8680036,150.9232642
SunCare Rockdale,"251R Princes Hwy, Arncliffe NSW 2205, Australia ",http://www.suncarerockdale.com.au/,"345V+6M Arncliffe, New South Wales, Australia",-33.9419838,151.1441689
