name,lat,lon,address,website,contact:website,contact:phone,opening_hours,operator,brand
"Unnamed (-33.6861, 150.9515)",-33.6861245,150.9515041,"Barry Road, North Kellyville, Sydney, The Hills Shire Council, New South Wales, 2155, Australia",,,,,,
Mascot Airport Car Wash,-33.9300211,151.1865083,"Mascot Airport Car Wash, Ewan Street, Mascot, Sydney, Bayside Council, New South Wales, 2020, Australia",,,,,,
"Unnamed (-33.8601, 150.8999)",-33.8600794,150.8998576,"Restwell Road, Prairiewood, Sydney, Fairfield City Council, New South Wales, 2176, Australia",,,,,,
"Unnamed (-33.9314, 151.0124)",-33.931368,151.01236,"Edgar Street, Condell Park, Sydney, Canterbury-Bankstown Council, New South Wales, 2200, Australia",,,,,,
"Unnamed (46.1401, -60.1790)",46.1400627,-60.1789746,"Prince Street, Sydney, Cape Breton Regional Municipality, Cape Breton County, Nova Scotia, B1P 5L3, Canada",,,,,,
"Unnamed (-34.0458, 151.0507)",-34.045774,151.0507139,"Tenth Avenue, Loftus, Sydney, Sutherland Shire Council, New South Wales, 2232, Australia",,,,,,
Aqua Car Wash Cafe,-34.0356286,151.1032766,"Urunga Parade, Miranda, Sydney, Sutherland Shire Council, New South Wales, 2228, Australia",,,,,,
"Unnamed (-33.8915, 151.2114)",-33.8915129,151.2113614,"James Street, Redfern, Sydney, Council of the City of Sydney, New South Wales, 2016, Australia",,,,,,
Jack's Prestige Car Wash & Cafe,-33.8059501,151.1664573,"533, Mowbray Road, Lane Cove North, Lower North Shore, Sydney, Willoughby City Council, New South Wales, 2066, Australia",,,,,,
Gold,-33.9118931,151.1976538,"Gold, O'Riordan Street, Alexandria, Sydney, Council of the City of Sydney, New South Wales, 2015, Australia",,,,,,
Crystal Car Wash,-33.870729,151.2686915,"Crystal Car Wash, New South Head Road, Rose Bay, Eastern Suburbs, Sydney, Woollahra Municipal Council, New South Wales, 2029, Australia",,,,,,
IMO Car Wash,-33.7438029,150.6930333,"IMO Car Wash, Coreen Avenue, Thornton, Penrith, Sydney, Penrith City Council, New South Wales, 2750, Australia",,,,,,IMO Car Wash
Elegance Carwash,-33.7534943,150.7044608,"Elegance Carwash, Henry Street, Thornton, Penrith, Sydney, Penrith City Council, New South Wales, 2750, Australia",,,,,,
A1 Car Wash,-33.7584247,150.6910001,"A1 Car Wash, Station Street, Penrith, Sydney, Penrith City Council, New South Wales, 2750, Australia",,,,,,
Green and Gold Car Wash and Cafe,-33.7553482,150.7127704,"Green and Gold Car Wash and Cafe, Parker Street, Kingswood, Penrith, Sydney, Penrith City Council, New South Wales, 2747, Australia",http://greenandgoldcarwash.com.au,,,,,
